index,PN_URL,edprinc,TM_ID,PN_title,provenance,daterange,language,translation,image,multiple_TMs,trema_status,,batch_order
656,http://www.papyri.info/ddbdp/psi;9;1041,psi 9 1041,30662,Letter to Ptolemaeus from his Mother;,Oxyrhynchos;,101 CE - 300 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,110
657,http://www.papyri.info/ddbdp/psi;9;1080,psi 9 1080,30667,Letter of Theopompus to a Strategus;,Oxyrhynchos;,101 CE - 200 CE;," grc, grc;",None;,None;,no,has marked tremas,,111
495,http://www.papyri.info/ddbdp/psi.com;12;10,psi.com 12 10,700723,keiner;,Oxyrhynchos;,76 CE - 100 CE;," grc, grc;",None;,None;,no,no editorial tremas,,84
660,http://www.papyri.info/ddbdp/psi.com;6;16,psi.com 6 16,78847,Letter of Aurelius Stephanus;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,114
723,http://www.papyri.info/ddbdp/psi.com;6;17,psi.com 6 17,78848,Miscellaneous papyri;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,None;,no,no editorial tremas,,12
661,http://www.papyri.info/ddbdp/psi.congr.xx;;13,psi.congr.xx 13,23915,Letter of Serenus;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,None;,no,no editorial tremas,,115
497,http://www.papyri.info/ddbdp/psi.congr.xxi;;13,psi.congr.xxi 13,22654,Application for Leave to Mortgage;,Oxyrhynchos;,108 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,86
496,http://www.papyri.info/ddbdp/psi.congr.xxi;;8,psi.congr.xxi 8,22652,Circular to Officials;,Oxyrhynchos;,184 CE - 216 CE;," grc, grc;",None;,None;,no,no editorial tremas,,85
504,http://www.papyri.info/ddbdp/sb;10;10275,sb 10 10275,16752,Letter of Serenus;,Oxyrhynchos;,101 CE - 200 CE;," grc, grc;",None;,None;,no,has marked tremas,,93
505,http://www.papyri.info/ddbdp/sb;10;10493,sb 10 10493,16772,Letter to Athenarus;,Oxyrhynchos;,101 CE - 200 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,94
677,http://www.papyri.info/ddbdp/sb;10;10556,sb 10 10556,30639,Edict of a Praefect;,Oxyrhynchos;,206 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,131
725,http://www.papyri.info/ddbdp/sb;10;10557,sb 10 10557,30640,Petition an den Präfekten von Ägypten Flavius Philagrius;,Oxyrhynchos;,334 CE - 340 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,14
733,http://www.papyri.info/ddbdp/sb;12;10772,sb 12 10772,26702,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
678,http://www.papyri.info/ddbdp/sb;12;10918,sb 12 10918,30248,Application for Payment;,Oxyrhynchos;,306 CE;," grc, grc;",None;,None;,no,has marked tremas,,132
726,http://www.papyri.info/ddbdp/sb;12;11020,sb 12 11020,26770,Rechtfertigung eines Dammaufsehers gegenüber dem Idioslogos;,Oxyrhynchos;,148 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,15
727,http://www.papyri.info/ddbdp/sb;12;11022,sb 12 11022,25067,Anweisung an die Totengräber;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,16
506,http://www.papyri.info/ddbdp/sb;12;11165,sb 12 11165,16395,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
507,http://www.papyri.info/ddbdp/sb;12;11166,sb 12 11166,16396,Edict of a Praefect Concerning Archives;,Oxyrhynchos;,127 CE;," grc, grc;",None;,None;,no,no editorial tremas,,1
508,http://www.papyri.info/ddbdp/sb;12;11167,sb 12 11167,16397,Auskunftserteilung durch die βιβλιοφύλακες ἐγκτήσεων über das Vermögen eines Inquisiten;,Oxyrhynchos;,309 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,2
509,http://www.papyri.info/ddbdp/sb;12;11168,sb 12 11168,16398,Notice of the Deaths of Slaves;,Oxyrhynchos;,78 CE - 79 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,3
510,http://www.papyri.info/ddbdp/sb;12;11244,sb 12 11244,16404,Letter of Apion;,Oxyrhynchos;,196 CE - 198 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,4
511,http://www.papyri.info/ddbdp/sb;12;11263,sb 12 11263,30328,Official Confirmation of the Return of a Will;,Oxyrhynchos;,116 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,5
512,http://www.papyri.info/ddbdp/sb;14;11547,sb 14 11547,18144,Letter to a Tax - Farmer of the xenike praktoria;,Oxyrhynchos;,206 CE - 212 CE;," grc, grc;",None;,"Img, Img (ext.), Print;",no,no editorial tremas,,6
513,http://www.papyri.info/ddbdp/sb;14;11899,sb 14 11899,26548,Invitation to the Kline of Sarapis;,Oxyrhynchos;,101 CE - 300 CE;," grc, grc;",None;,"Img, Img (ext.), Print;",no,no editorial tremas,,7
728,http://www.papyri.info/ddbdp/sb;14;12106,sb 14 12106,27515,Gestellungsbürgschaft;,Oxyrhynchos;,173 CE - 174 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,17
679,http://www.papyri.info/ddbdp/sb;14;12182,sb 14 12182,30924,Notice to the Agoranomus;,Oxyrhynchos;,81 CE - 96 CE;," grc, grc;",None;,None;,no,no editorial tremas,,133
514,http://www.papyri.info/ddbdp/sb;16;12220,sb 16 12220,16214,Invitation to the Kline of Sarapis;,Oxyrhynchos;,101 CE - 300 CE;," grc, grc;",None;,"Img, Img (ext.), Print;",no,no editorial tremas,,8
729,http://www.papyri.info/ddbdp/sb;16;12374,sb 16 12374,16227,Copia (?) di un rapporto di episkepsis;,Oxyrhynchos;,159 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,18
515,http://www.papyri.info/ddbdp/sb;16;12391,sb 16 12391,16232,Letter of Fishermen to a Strategus;,Oxyrhynchos;,128 CE - 131 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,9
516,http://www.papyri.info/ddbdp/sb;16;12547,sb 16 12547,30285,Plainte au sujet d’une ruade;,Oxyrhynchos;,59 CE;," grc, grc;",None;,None;,no,no editorial tremas,,10
770,http://www.papyri.info/ddbdp/sb;16;12579,sb 16 12579,26736,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
730,http://www.papyri.info/ddbdp/sb;16;12606,sb 16 12606,30293,Richiesta di pagamento da parte della corporazione τῶν χαλκέων;,Oxyrhynchos;,283 CE - 292 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,19
517,http://www.papyri.info/ddbdp/sb;16;12698,sb 16 12698,17451,Official correspondence;,Oxyrhynchos;,297 CE - 298 CE;," grc, grc;",None;,None;,no,no editorial tremas,,11
518,http://www.papyri.info/ddbdp/sb;16;12987,sb 16 12987,16334,Miscellaneous papyri;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,None;,no,no editorial tremas,,12
519,http://www.papyri.info/ddbdp/sb;16;12994,sb 16 12994,16338,Inizio di documento ufficiale;,Oxyrhynchos;,72 CE - 73 CE;," grc, grc;",None;,Print;,no,has marked tremas,,13
680,http://www.papyri.info/ddbdp/sb;16;13003,sb 16 13003,16343,"Petition to a Strategus, etc.;",Oxyrhynchos;,253 CE;," grc, grc;",None;,None;,no,no editorial tremas,,134
520,http://www.papyri.info/ddbdp/sb;16;13058,sb 16 13058,16360,Petition an den Präfekten von Ägypten Flavius Philagrius;,Oxyrhynchos;,334 CE - 340 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,14
706,http://www.papyri.info/ddbdp/sb;18;13614,sb 18 13614,27702,Official Letter;,Oxyrhynchos;,188 CE - 190 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,23
681,http://www.papyri.info/ddbdp/sb;20;14229,sb 20 14229,23697,Order for Vegetable - seed;,Oxyrhynchos;,293 CE;," grc, grc;",None;,None;,no,no editorial tremas,,135
521,http://www.papyri.info/ddbdp/sb;20;14587,sb 20 14587,23760,Rechtfertigung eines Dammaufsehers gegenüber dem Idioslogos;,Oxyrhynchos;,148 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,15
522,http://www.papyri.info/ddbdp/sb;20;14635,sb 20 14635,23777,Anweisung an die Totengräber;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,16
523,http://www.papyri.info/ddbdp/sb;20;14681,sb 20 14681,32191,Gestellungsbürgschaft;,Oxyrhynchos;,173 CE - 174 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,17
524,http://www.papyri.info/ddbdp/sb;20;14975,sb 20 14975,29506,Copia (?) di un rapporto di episkepsis;,Oxyrhynchos;,159 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,18
525,http://www.papyri.info/ddbdp/sb;20;15180,sb 20 15180,23907,Richiesta di pagamento da parte della corporazione τῶν χαλκέων;,Oxyrhynchos;,283 CE - 292 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,19
526,http://www.papyri.info/ddbdp/sb;20;15194,sb 20 15194,23909,Letter of the Senate to the Strategus;,Oxyrhynchos;,310 CE - 311 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,20
527,http://www.papyri.info/ddbdp/sb;22;15349,sb 22 15349,31351,Registration of an Apprentice;,Oxyrhynchos;,58 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,21
528,http://www.papyri.info/ddbdp/sb;22;15350,sb 22 15350,31352,Registration of an Apprentice;,Oxyrhynchos;,62 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,22
529,http://www.papyri.info/ddbdp/sb;22;15351,sb 22 15351,20797,Official Letter;,Oxyrhynchos;,188 CE - 190 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,23
530,http://www.papyri.info/ddbdp/sb;22;15354,sb 22 15354,20798,Entwurf zu einer Eingabe (Neuedition von P.Mich. XI 616);,Oxyrhynchos;,181 CE - 183 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,24
531,http://www.papyri.info/ddbdp/sb;22;15355,sb 22 15355,20799,Fragment of official letter or petition;,Oxyrhynchos;,341 CE;," grc, grc;",None;,None;,no,no editorial tremas,,25
532,http://www.papyri.info/ddbdp/sb;22;15357,sb 22 15357,31355,Lettera di Theone ad Heraclide;,Oxyrhynchos;,101 CE - 150 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,26
533,http://www.papyri.info/ddbdp/sb;22;15358,sb 22 15358,31356,Letter;,Oxyrhynchos;,101 CE - 200 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,27
534,http://www.papyri.info/ddbdp/sb;22;15361,sb 22 15361,31357,Letter of Recommendation;,Oxyrhynchos;,101 CE - 300 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,28
707,http://www.papyri.info/ddbdp/sb;22;15603,sb 22 15603,31395,Entwurf zu einer Eingabe (Neuedition von P.Mich. XI 616);,Oxyrhynchos;,181 CE - 183 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,24
535,http://www.papyri.info/ddbdp/sb;22;15708,sb 22 15708,25933,Letter of the Strategus of Alexandria concerning Two Stolen Camels;,Oxyrhynchos;,138 CE - 161 CE;," grc, grc;",None;,None;,no,no editorial tremas,,29
536,http://www.papyri.info/ddbdp/sb;24;16010,sb 24 16010,79283,Report of Public Physician;,Oxyrhynchos;,96 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,30
537,http://www.papyri.info/ddbdp/sb;24;16077,sb 24 16077,27058,Orders for Delivery of Wine;,Oxyrhynchos;,296 CE - 330 CE;," grc, grc;",None;,None;,no,no editorial tremas,,31
538,http://www.papyri.info/ddbdp/sb;24;16186,sb 24 16186,79360,Letter to an ἀρχιπροφήτης;,Oxyrhynchos;,276 CE - 300 CE;," grc, grc;",None;,None;,no,no editorial tremas,,32
539,http://www.papyri.info/ddbdp/sb;24;16251,sb 24 16251,79411,Sale of Taxes;,Oxyrhynchos;,66 CE - 70 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,33
682,http://www.papyri.info/ddbdp/sb;26;16809,sb 26 16809,97068,Order for Purchases;,Oxyrhynchos;,276 CE - 300 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,136
731,http://www.papyri.info/ddbdp/sb;28;16997,sb 28 16997,383624,Letter of the Senate to the Strategus;,Oxyrhynchos;,310 CE - 311 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,20
499,http://www.papyri.info/ddbdp/sb;3;7258,sb 3 7258,18869,Petition to the Epistrategus;,Oxyrhynchos;,156 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,88
742,http://www.papyri.info/ddbdp/sb;6;9025,sb 6 9025,27270,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,has marked tremas,,0
500,http://www.papyri.info/ddbdp/sb;6;9421,sb 6 9421,31102,Order for Payment in Kind;,Oxyrhynchos;,160 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,89
501,http://www.papyri.info/ddbdp/sb;6;9617,sb 6 9617,19134,Invitation to Dinner;,Oxyrhynchos;,101 CE - 200 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,90
502,http://www.papyri.info/ddbdp/sb;8;9862,sb 8 9862,22918,Letter of Cyrillus;,Oxyrhynchos;,101 CE - 200 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,91
503,http://www.papyri.info/ddbdp/sb;8;9903,sb 8 9903,22926,Letter of Hatres;,Oxyrhynchos;,101 CE - 225 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,92
540,http://www.papyri.info/ddbdp/zpe;160;189,zpe 160 189,20675,Land Distribution;,Oxyrhynchos;,95 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,34
541,http://www.papyri.info/ddbdp/zpe;160;190_2,zpe 160 190 2,20677,Land Distribution;,Oxyrhynchos;,100 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,35
542,http://www.papyri.info/ddbdp/zpe;160;191,zpe 160 191,20678,Land Distribution;,Oxyrhynchos;,83 CE - 88 CE;," grc, grc;",None;,None;,no,no editorial tremas,,36
543,http://www.papyri.info/ddbdp/zpe;160;192,zpe 160 192,20679,Emancipation of a Slave;,Oxyrhynchos;,86 CE;," grc, grc;",None;,None;,no,no editorial tremas,,37
544,http://www.papyri.info/ddbdp/zpe;160;194_2,zpe 160 194 2,20681,Emancipation of a Slave;,Oxyrhynchos;,100 CE;," grc, grc;",None;,None;,no,no editorial tremas,,38
545,http://www.papyri.info/ddbdp/zpe;160;195,zpe 160 195,20682,Report of a Public Physician;,Oxyrhynchos;,173 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,39
